id,type,parentid
0B1qO9IFXquq6MXdnWjFwMk1nam8,file,0AFqO9IFXquq6Uk9PVA
0B1qO9IFXquq6V0xJRGFOQUJnNGs,file,0B1qO9IFXquq6SEFwTkdHTE54Z28
1eZDVFVZnKJOX-4JrlvBAgPDAgRWye0kSP8pklYAXJ5M,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
1djEyLPZJ_L19_576XEaQwT5JlscJyVuFBdoneGvbLtQ,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
1s1iG8skRVloV1DiGD65H6fmq4y2wIiSWtpDjqIlfo2I,document,0B1qO9IFXquq6SEFwTkdHTE54Z28
0B1qO9IFXquq6eWsxeVh3MHpvV0E,file,0B1qO9IFXquq6SEFwTkdHTE54Z28
1u1gFPuOCbKucoek6DwqvuES6-qW3yn3MwdgD68sZ8Hs,document,0AFqO9IFXquq6Uk9PVA
1oqTYpTwAAGz5nGJU-X-JWKnSC-Dix8awrB10GJ5JbB0,presentation,0AFqO9IFXquq6Uk9PVA
1QRuETTWokdxqqLMco9iui1AIPm-r2IAS22lJS1J6E24,document,0B1qO9IFXquq6SEFwTkdHTE54Z28
1cHgz3_MWTaTGMLkWszrWWK_Afpzu-B-KtfPTmCf_lYI,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
0B1qO9IFXquq6NWtxeEpacVJfWVk,file,0AFqO9IFXquq6Uk9PVA
1IOV4yF92jaRTtJswQFJ4E4KtXvst0BxbBMDXfj1c1rM,document,0B1qO9IFXquq6bEJ2cF9IcnRBeFU
0B1qO9IFXquq6cjhtYXhBWEpnX28,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6a3BaWW5EM3JiSm8,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6dndjTTA5NGQwUFE,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6VUFiVVpDVng4a3c,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6T1AwSkxIMEpNc1U,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6SXlMY2hESTdKNjA,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6WlVqZ2FTUm00cW8,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6WFoxWWVVekdIY00,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6UF9oOEZJRHVUOTA,file,0B1qO9IFXquq6cnV1LURybHZSU0k
0B1qO9IFXquq6NUpGZENBZDNhZmc,file,0B1qO9IFXquq6cnV1LURybHZSU0k
